2022-05-09 15:22:36,425 | root | DEBUG | START PULL DURO EXISTING BOM
2022-05-09 15:22:36,476 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): public-api.duro.app:443
2022-05-09 15:22:36,740 | urllib3.connectionpool | DEBUG | https://public-api.duro.app:443 "GET /v1/products/?cpn=999-0000014 HTTP/1.1" 200 None
2022-05-09 15:22:36,751 | root | INFO | Ran unpack fcn successfully
2022-05-09 15:22:36,761 | root | DEBUG | START BUILDING GET QUERY
2022-05-09 15:22:36,764 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): public-api.duro.app:443
2022-05-09 15:22:37,850 | urllib3.connectionpool | DEBUG | https://public-api.duro.app:443 "GET /v1/components/?cpn:*&perPage=100&page=1 HTTP/1.1" 200 None
